0,1,2,3,4,5,6,7,8,9,10,11,12
Month,January,February,March,April,May,June,July,August,September,October,November,December
Year,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
No_Landing,38451,35022,39684,41310,41297,43598,47047,47281,43575,41990,36951,37670
Available_Seats_Km,14241223.78,12843238.14,14631605,15166762.23,15456536.07,15803248.74,16933915.86,17201698.16,15926896.62,15520913.99,13934915.8,14369874.57
Revenue_Passenger_Km,11359684.57,10238210.92,11999214.64,12610130.8,12161613.84,12497414.55,14458878.97,14730707.93,13298696.46,12946540.74,11346779.36,11521340.28
Passenger_Load_Factor,0.797662107,0.797167413,0.820088749,0.831431956,0.786826607,0.790813001,0.853841432,0.856351959,0.834983536,0.834135203,0.814269675,0.801770414
Passengers_Carried,5685241,5122555,5959882,6444181,6147801,6383723,7477183,7568919,6814929,6519424,5529577,5514392
Cargo_and_Mail,97809.88765,99111.72854,117450.8058,113461.6023,118331.553,115967.3916,119726.0247,116681.7785,122471.9987,132308.3878,130566.1153,128535.5195
Km_Flown,67956.523,61905.263,69981.731,71434.624,72524.515,74716.695,80189.389,81280.282,75606.346,74180.139,67438.873,69415.332
Int_Trns_Pass_Carried,1764253,1585255,1919049,1976535,1890013,1963940,2193264,2249331,2074844,2074380,1816221,1934370
