Month,Year,No_Landing,Available_Seats_Km,Revenue_Passenger_Km,Passenger_Load_Factor,Passengers_Carried,Cargo_and_Mail,Km_Flown,Int_Trns_Pass_Carried
January,2014,32306.0,10435588.07,8000545.38,76.67,4038898.0,48154.66,62612.68,1117369.0
February,2014,29565.0,9459725.81,7310480.74,77.28,3795690.0,49060.99,56627.23,961636.0
March,2014,32660.0,10532746.19,8350454.96,79.28,4259966.0,59447.23,63492.78,1133260.0
April,2014,34152.0,11015162.26,8756891.56,79.5,4541627.0,56546.1,64816.66,1160566.0
May,2014,35629.0,11539296.05,9189171.88,79.63,4726223.0,58052.49,67822.7,1123392.0
June,2014,35953.0,11637511.88,9453551.9,81.23,4893484.0,57229.23,68090.08,1165075.0
July,2014,36769.0,12099211.78,9463620.75,78.22,4767473.0,50149.88,70007.55,1275816.0
August,2014,38740.0,12515500.57,10464589.57,83.61,5421780.0,53181.92,72154.15,1275393.0
September,2014,36404.0,11909337.49,9672387.16,81.22,4953425.0,58579.32,68533.56,1191650.0
October,2014,35811.0,11984415.91,9332319.24,77.87,4788350.0,57240.73,68833.08,1154205.0
November,2014,32168.0,10881855.33,8177513.83,75.15,4192759.0,60926.58,63564.48,1116555.0
December,2014,33219.0,11319275.19,8615358.38,76.11,4295292.0,59173.95,65882.85,1293756.0
January,2015,33311.0,11390034.26,8695835.26,76.35,4351704.0,48347.36,66183.95,1399646.0
February,2015,29701.0,9931402.37,7582699.73,76.35,3912160.0,49075.59,58287.37,1117304.0
March,2015,34796.0,11643912.73,9077189.32,77.96,4591027.0,62136.05,68296.62,1411623.0
April,2015,36671.0,12169245.55,9515677.52,78.19,4960613.0,59296.17,69499.2,1414129.0
May,2015,39403.0,13182805.91,10359180.95,78.58,5404528.0,65273.23,73827.93,1459945.0
June,2015,38664.0,12943599.63,10214212.63,78.91,5271843.0,63705.86,72192.16,1543120.0
July,2015,42831.0,14194913.3,11320702.36,79.75,5872007.0,61955.04,78687.89,1775573.0
August,2015,44063.0,14470054.42,12082995.83,83.5,6375289.0,62529.18,80419.08,1849024.0
September,2015,41609.0,13768539.27,10842385.39,78.75,5729594.0,59594.76,76782.98,1640669.0
October,2015,39900.0,13719885.9,10640017.92,77.55,5410985.0,58988.87,76153.49,1688156.0
November,2015,35689.0,12728792.65,9453632.32,74.27,4689490.0,65735.69,71240.44,1484353.0
December,2015,36344.0,13066065.84,9587394.1,73.38,4678952.0,63801.72,73015.02,1601741.0
January,2016,35772.0,13202105.04,9741645.76,73.79,4701288.0,58869.2,73095.47,1615473.0
February,2016,34530.0,12482188.19,8999913.33,72.1,4490297.0,64028.24,68606.89,1427789.0
March,2016,37548.0,13734362.48,10322604.12,75.16,4980960.0,70687.89,75132.01,1751576.0
April,2016,38527.0,13772679.67,10101899.03,73.35,5181838.0,67306.45,74903.61,1677268.0
May,2016,41050.0,14619999.36,10874981.71,74.38,5671795.0,71799.68,79162.29,1730845.0
June,2016,38727.0,14014718.53,10249603.77,73.13,5037231.0,76967.33,75858.16,1693053.0
July,2016,43614.0,15868567.41,11646762.81,73.4,5793533.0,70433.46,84051.35,1939503.0
August,2016,44947.0,16673539.43,13112016.42,78.64,6466933.0,78739.79,87378.43,2258827.0
September,2016,42512.0,15830278.88,12004573.79,75.83,5962514.0,76922.59,83012.74,1966182.0
October,2016,39680.0,14831857.42,11089334.22,74.77,5499482.0,78957.38,78965.73,1831585.0
November,2016,33253.0,12218138.35,9066136.12,74.2,4490938.0,76573.29,67381.3,1426094.0
December,2016,33871.0,12843362.66,9605241.22,74.79,4481806.0,84943.14,70578.92,1632845.0
January,2017,31421.0,12154973.6,8811954.02,72.5,4160401.0,64582.27,65758.49,1363038.0
February,2017,31039.0,11272684.24,8261850.47,73.29,4072553.0,71544.66,62720.44,1301472.0
March,2017,35056.0,12983393.06,9875955.92,76.07,4807783.0,90892.24,71634.09,1613967.0
April,2017,38374.0,14266187.74,11291797.08,79.15,5600873.0,95342.75,75952.68,1968967.0
May,2017,40268.0,14910313.85,11575731.28,77.64,5930939.0,96848.24,78747.15,1816981.0
June,2017,40619.0,15028250.18,11486134.1,76.43,5714276.0,96858.71,79477.8,1863100.0
July,2017,46181.0,16599163.54,13923242.98,83.88,7201508.0,99539.13,88587.85,2136542.0
August,2017,47321.0,17114802.44,14439836.14,84.37,7392851.0,97085.92,90589.37,2219935.0
September,2017,44499.0,16137486.89,13148544.12,81.48,6737051.0,98684.91,85623.35,2026526.0
October,2017,41009.0,15161144.34,12282427.28,81.01,6202986.0,104866.9,81669.79,1949774.0
November,2017,36226.0,13369696.31,10626058.73,79.48,5322038.0,104022.47,73499.52,1679253.0
December,2017,37539.0,14074852.68,11222987.41,79.74,5473481.0,102428.96,75675.79,1730421.0
January,2018,38451.0,14241223.78,11359684.57,79.77,5685241.0,97809.89,67956.52,1764253.0
February,2018,35022.0,12843238.14,10238210.92,79.72,5122555.0,99111.73,61905.26,1585255.0
March,2018,39684.0,14631605.0,11999214.64,82.01,5959882.0,117450.81,69981.73,1919049.0
