Year,Month,Condition,Condition_Count
2009,April,Cloudy,3
2009,April,Partly cloudy,3
2009,April,Sunny,23
2009,April,Thundery outbreaks possible,1
2009,August,Sunny,31
2009,December,Cloudy,5
2009,December,Overcast,5
2009,December,Partly cloudy,13
2009,December,Sunny,7
2009,December,Thundery outbreaks possible,1
2009,February,Cloudy,2
2009,February,Mist,1
2009,February,Overcast,11
2009,February,Partly cloudy,9
2009,February,Sunny,4
2009,February,Thundery outbreaks possible,1
2009,January,Cloudy,2
2009,January,Mist,2
2009,January,Overcast,8
2009,January,Partly cloudy,11
2009,January,Sunny,7
2009,January,Thundery outbreaks possible,1
2009,July,Sunny,31
2009,June,Partly cloudy,3
2009,June,Sunny,26
2009,June,Thundery outbreaks possible,1
2009,March,Cloudy,4
2009,March,Fog,1
2009,March,Light rain shower,1
2009,March,Overcast,4
2009,March,Partly cloudy,11
2009,March,Sunny,8
2009,March,Thundery outbreaks possible,2
2009,May,Cloudy,1
2009,May,Partly cloudy,3
2009,May,Sunny,27
2009,November,Light rain shower,1
2009,November,Overcast,3
2009,November,Partly cloudy,7
2009,November,Sunny,18
2009,November,Thundery outbreaks possible,1
2009,October,Cloudy,1
2009,October,Overcast,3
2009,October,Partly cloudy,7
2009,October,Sunny,19
2009,October,Thundery outbreaks possible,1
2009,September,Cloudy,1
2009,September,Moderate or heavy rain shower,1
2009,September,Overcast,1
2009,September,Partly cloudy,7
2009,September,Patchy rain possible,1
2009,September,Sunny,19
2010,April,Overcast,1
2010,April,Partly cloudy,8
2010,April,Sunny,19
2010,April,Thundery outbreaks possible,2
2010,August,Partly cloudy,2
2010,August,Sunny,27
2010,August,Thundery outbreaks possible,2
2010,December,Cloudy,2
2010,December,Overcast,8
2010,December,Partly cloudy,9
2010,December,Sunny,11
2010,December,Thundery outbreaks possible,1
2010,February,Cloudy,2
2010,February,Light rain shower,1
2010,February,Overcast,7
2010,February,Partly cloudy,8
2010,February,Sunny,8
2010,February,Thundery outbreaks possible,2
2010,January,Fog,1
2010,January,Mist,1
2010,January,Overcast,12
2010,January,Partly cloudy,9
2010,January,Sunny,6
2010,January,Thundery outbreaks possible,2
2010,July,Partly cloudy,4
2010,July,Patchy rain possible,1
2010,July,Sunny,26
2010,June,Overcast,2
2010,June,Partly cloudy,9
2010,June,Sunny,17
2010,June,Thundery outbreaks possible,2
2010,March,Cloudy,3
2010,March,Overcast,5
2010,March,Partly cloudy,6
2010,March,Sunny,17
2010,May,Partly cloudy,6
2010,May,Sunny,25
2010,November,Cloudy,1
2010,November,Light rain shower,1
2010,November,Partly cloudy,4
2010,November,Sunny,24
2010,October,Cloudy,4
2010,October,Moderate or heavy rain shower,1
2010,October,Moderate rain,1
2010,October,Overcast,4
2010,October,Partly cloudy,7
2010,October,Sunny,14
2010,September,Cloudy,2
2010,September,Overcast,1
2010,September,Partly cloudy,6
2010,September,Patchy light drizzle,1
2010,September,Sunny,19
2010,September,Thundery outbreaks possible,1
2011,April,Cloudy,3
2011,April,Overcast,4
2011,April,Partly cloudy,10
2011,April,Sunny,13
2011,August,Cloudy,1
2011,August,Overcast,1
2011,August,Sunny,29
2011,December,Cloudy,4
2011,December,Light drizzle,1
2011,December,Overcast,3
2011,December,Partly cloudy,11
2011,December,Sunny,12
2011,February,Cloudy,7
2011,February,Moderate or heavy snow showers,1
2011,February,Overcast,4
2011,February,Partly cloudy,4
2011,February,Sunny,12
2011,January,Cloudy,4
2011,January,Light sleet,1
2011,January,Overcast,8
2011,January,Partly cloudy,3
2011,January,Sunny,15
2011,July,Partly cloudy,1
2011,July,Sunny,30
2011,June,Moderate or heavy rain shower,1
2011,June,Partly cloudy,2
2011,June,Sunny,25
2011,June,Thundery outbreaks possible,1
2011,June,Torrential rain shower,1
2011,March,Cloudy,4
2011,March,Overcast,6
2011,March,Partly cloudy,9
2011,March,Patchy rain possible,1
2011,March,Sunny,10
2011,March,Thundery outbreaks possible,1
2011,May,Overcast,3
2011,May,Partly cloudy,10
2011,May,Sunny,18
2011,November,Cloudy,3
2011,November,Light rain shower,1
2011,November,Overcast,2
2011,November,Partly cloudy,11
2011,November,Sunny,13
2011,October,Cloudy,3
2011,October,Overcast,3
2011,October,Partly cloudy,10
2011,October,Sunny,14
2011,October,Thundery outbreaks possible,1
2011,September,Overcast,1
2011,September,Partly cloudy,2
2011,September,Sunny,27
2012,April,Overcast,2
2012,April,Partly cloudy,7
2012,April,Sunny,21
2012,August,Cloudy,1
2012,August,Sunny,29
2012,August,Torrential rain shower,1
2012,December,Cloudy,5
2012,December,Overcast,11
2012,December,Partly cloudy,6
2012,December,Sunny,9
2012,February,Cloudy,2
2012,February,Overcast,8
2012,February,Partly cloudy,8
2012,February,Sunny,10
2012,January,Blizzard,1
2012,January,Cloudy,7
2012,January,Overcast,7
2012,January,Partly cloudy,8
2012,January,Sunny,8
2012,July,Sunny,31
2012,June,Partly cloudy,2
2012,June,Sunny,28
2012,March,Cloudy,3
2012,March,Overcast,3
2012,March,Partly cloudy,7
2012,March,Patchy rain possible,1
2012,March,Sunny,17
2012,May,Cloudy,1
2012,May,Partly cloudy,10
2012,May,Sunny,20
2012,November,Cloudy,2
2012,November,Light rain,1
