Day,Month,Year, Last Price, Lowest Price, Highest Price, Volume
18,Haziran,2019,13.22,13.02,13.28,851977943
17,Haziran,2019,13.02,12.62,13.05,824603822
14,Haziran,2019,12.68,12.56,12.86,742553611
13,Haziran,2019,12.65,12.64,12.93,649793915
12,Haziran,2019,12.95,12.92,13.15,820195573
11,Haziran,2019,12.92,12.72,13.34,950575864
10,Haziran,2019,13.26,12.92,13.4,797446726
7,Haziran,2019,13.03,12.43,13.06,830484808
3,Haziran,2019,12.44,12.39,12.57,198656535
31,Mayıs,2019,12.49,12.35,12.55,685620115
30,Mayıs,2019,12.45,12.25,12.45,968808470
29,Mayıs,2019,12.13,11.89,12.32,996860192
28,Mayıs,2019,12.08,11.99,12.23,804262183
27,Mayıs,2019,11.86,11.77,12.15,589386472
24,Mayıs,2019,11.96,11.72,12.21,947727292
23,Mayıs,2019,11.8,11.21,11.83,975494899
22,Mayıs,2019,11.26,11.24,11.87,847055896
21,Mayıs,2019,11.71,11.62,12.19,740677147
20,Mayıs,2019,12.09,11.92,12.17,630355850
17,Mayıs,2019,12.02,12.01,12.31,655449580
16,Mayıs,2019,12.27,12.15,12.41,970271415
15,Mayıs,2019,12.1,11.92,12.57,1086859912
14,Mayıs,2019,12.5,12.13,12.53,900122340
13,Mayıs,2019,12.36,11.82,12.43,1100749283
10,Mayıs,2019,12.15,12,12.7,1157171003
9,Mayıs,2019,12.46,12.43,13.16,894991795
8,Mayıs,2019,12.96,12.94,13.62,910977011
7,Mayıs,2019,13.52,13.35,13.7,606979387
6,Mayıs,2019,13.8,13.44,13.85,525780119
3,Mayıs,2019,13.9,13.85,14.15,510316581
2,Mayıs,2019,14.07,14,14.65,705615417
30,Nisan,2019,14.31,14.19,14.45,611527788
29,Nisan,2019,14.22,13.94,14.3,657627489
26,Nisan,2019,13.92,13.66,14,555105468
25,Nisan,2019,13.73,13.63,14.11,746548943
24,Nisan,2019,14.04,13.93,14.24,707631607
22,Nisan,2019,13.93,13.9,14.05,335640304
19,Nisan,2019,14.15,14.15,14.43,443126344
18,Nisan,2019,14.33,14.19,14.45,594565614
17,Nisan,2019,14.35,14.2,14.56,856444030
16,Nisan,2019,14.35,14.03,14.4,1091899941
15,Nisan,2019,13.94,13.86,14.11,653450252
12,Nisan,2019,13.89,13.82,14.06,651426329
11,Nisan,2019,14.03,13.79,14.21,1008174429
10,Nisan,2019,13.97,13.97,14.51,772980881
9,Nisan,2019,14.46,14.33,14.63,1093897597
8,Nisan,2019,14.16,14.05,14.66,1103980077
5,Nisan,2019,14.55,14.18,14.59,1462343388
4,Nisan,2019,14.31,13.34,14.33,1519150854
3,Nisan,2019,13.4,13.05,13.41,965371114
2,Nisan,2019,12.97,12.8,13.19,873643150
1,Nisan,2019,13,12.48,13.29,1306882253
29,Mart,2019,12.93,12.55,13.02,1115242409
28,Mart,2019,12.6,12.41,13.17,1615271109
27,Mart,2019,12.73,12.66,13.62,1049429403
26,Mart,2019,13.48,13.36,14.26,1081566982
25,Mart,2019,14.06,13.08,14.1,1354648988
22,Mart,2019,13.49,13.44,14.26,1263715831
21,Mart,2019,14.14,13.98,14.6,1504801909
20,Mart,2019,14.22,14.14,14.37,1126050479
19,Mart,2019,14.2,13.85,14.42,1881452994
18,Mart,2019,13.97,13.25,13.98,1559352099
15,Mart,2019,12.98,12.89,13.08,567172364
14,Mart,2019,13.03,12.73,13.1,886013917
13,Mart,2019,12.76,12.71,13.11,1074631487
12,Mart,2019,13.1,12.89,13.15,834500542
11,Mart,2019,12.96,12.86,13.44,1204442277
8,Mart,2019,13.21,13.04,13.83,1288428309
7,Mart,2019,13.7,13.59,14.34,1059478520
6,Mart,2019,14.11,14.08,14.46,1081827086
5,Mart,2019,14.27,13.73,14.36,1672251701
4,Mart,2019,13.91,13.88,14.09,514502902
1,Mart,2019,13.97,13.87,14.22,614896398
28,Şubat,2019,14.14,14.02,14.28,955941207
27,Şubat,2019,14,13.95,14.45,838824203
26,Şubat,2019,14.39,13.91,14.46,986151601
25,Şubat,2019,14.03,13.97,14.51,1084269848
22,Şubat,2019,14.12,13.69,14.21,1045619546
21,Şubat,2019,13.64,13.42,13.75,866385564
20,Şubat,2019,13.43,13.35,13.52,898936506
19,Şubat,2019,13.34,13.24,13.57,907113321
18,Şubat,2019,13.34,13.29,13.95,1257442109
15,Şubat,2019,13.69,13.58,14.18,1401184505
14,Şubat,2019,14.16,13.35,14.6,2152286264
13,Şubat,2019,13.8,13.74,14.65,1660937822
12,Şubat,2019,14.45,14.41,15.29,1396899365
11,Şubat,2019,15.24,14.77,15.24,1109066197
8,Şubat,2019,14.71,14.55,14.79,746472286
7,Şubat,2019,14.65,14.63,15.01,1108117357
6,Şubat,2019,14.85,14.3,14.87,1216900863
5,Şubat,2019,14.51,14.43,15.1,1060876252
4,Şubat,2019,14.95,14.76,15.12,813557637
1,Şubat,2019,14.76,14.68,15.47,1090920954
31,Ocak,2019,15.42,15.16,16.17,1453495464
30,Ocak,2019,15.81,15.07,15.85,1700313621
29,Ocak,2019,15.2,15.07,15.24,969382951
28,Ocak,2019,15.06,14.68,15.15,1663458952
25,Ocak,2019,14.67,14.64,14.88,701361183
24,Ocak,2019,14.76,14.63,14.89,914127247
23,Ocak,2019,14.69,14.38,14.77,1373406225
22,Ocak,2019,14.4,14.26,14.69,1185116607
21,Ocak,2019,14.54,14.49,14.96,1608302088
18,Ocak,2019,14.44,14.19,14.6,1370502818
17,Ocak,2019,14.17,14.17,14.69,1644261678
16,Ocak,2019,14.39,14.14,14.75,1406037631
15,Ocak,2019,14.59,14.56,15.17,1268364585
14,Ocak,2019,15.03,14.85,15.09,626081199
11,Ocak,2019,15.08,15,15.23,691940947
10,Ocak,2019,14.96,14.91,15.31,963444931
9,Ocak,2019,14.95,14.89,15.18,504342446
8,Ocak,2019,15.11,14.86,15.17,519866157
7,Ocak,2019,15.06,14.96,15.38,739501789
4,Ocak,2019,15.11,14.82,15.45,808994445
3,Ocak,2019,15.14,15.09,16,974729532
2,Ocak,2019,15.72,15.65,16.25,799409613
31,Aralık,2018,16.11,15.91,16.13,212528628
29,Aralık,2018,16.01,15.87,16.33,411598180
28,Aralık,2018,16.01,15.87,16.33,412204879
27,Aralık,2018,16.25,16.2,16.41,514901616
26,Aralık,2018,16.16,16.14,16.3,232649586
25,Aralık,2018,16.18,16.1,16.37,288558048
24,Aralık,2018,16.16,16.15,16.52,388696756
22,Aralık,2018,16.33,16.07,16.58,737077301
21,Aralık,2018,16.33,16.07,16.58,737077138
20,Aralık,2018,16.37,15.74,16.4,1009805572
19,Aralık,2018,16.17,15.58,16.22,742432468
18,Aralık,2018,15.41,14.69,15.44,593927196
17,Aralık,2018,14.69,14.69,15.13,421735913
15,Aralık,2018,14.88,14.76,15.34,521265797
14,Aralık,2018,14.96,14.76,15.34,545910385
13,Aralık,2018,15.4,15.29,15.5,394314869
12,Aralık,2018,15.25,15.23,16.13,643338943
11,Aralık,2018,15.96,15.89,16.25,442348139
10,Aralık,2018,16.1,16.08,16.36,417014354
8,Aralık,2018,16.19,16.05,16.58,694305083
7,Aralık,2018,16.19,16.05,16.58,694630502
6,Aralık,2018,16.39,16.03,16.49,610377311
5,Aralık,2018,16.33,15.86,16.39,708616016
4,Aralık,2018,15.96,15.85,16.63,883825378
3,Aralık,2018,16.3,16.26,17.15,834867847
30,Kasım,2018,17,16.77,17.06,651608254
29,Kasım,2018,16.95,16.88,17.42,711726661
28,Kasım,2018,17.23,17.1,17.35,633856772
27,Kasım,2018,17.08,16.86,17.24,551208301
26,Kasım,2018,17.11,16.88,17.33,896979766
23,Kasım,2018,16.89,16.28,16.91,910121817
22,Kasım,2018,16.29,16.03,16.43,563551437
21,Kasım,2018,16.4,16.01,16.44,794134336
20,Kasım,2018,15.85,15.8,16.34,610992597
19,Kasım,2018,16.35,15.98,16.52,822976740
17,Kasım,2018,15.97,15.9,16.5,776383072
16,Kasım,2018,15.97,15.9,16.5,801732022
15,Kasım,2018,16.18,15.75,16.5,1021116436
14,Kasım,2018,16.2,15.47,16.25,1274088430
13,Kasım,2018,15.49,14.74,15.57,816773459
12,Kasım,2018,14.78,14.78,15.24,550663890
10,Kasım,2018,15.17,14.5,15.24,890488690
9,Kasım,2018,15.17,14.5,15.24,909841306
8,Kasım,2018,14.65,14.64,15.69,1299246634
7,Kasım,2018,15.59,14.7,15.62,953851987
6,Kasım,2018,14.72,14.72,15.45,896870390
5,Kasım,2018,15.28,15.08,15.43,714181203
3,Kasım,2018,15.23,14.34,15.6,1244598299
2,Kasım,2018,15.23,14.34,15.6,1245533512
1,Kasım,2018,14.6,13.85,14.68,931263167
31,Ekim,2018,14.05,13.98,14.76,928751330
30,Ekim,2018,14.6,14.37,15.58,1290084674
27,Ekim,2018,15.46,15.36,15.97,680023492
26,Ekim,2018,15.46,15.36,15.97,680476068
25,Ekim,2018,15.94,15.31,15.94,732175801
24,Ekim,2018,15.54,15.5,15.91,789300692
23,Ekim,2018,15.53,15.09,15.72,895727076
22,Ekim,2018,15.72,15.55,16.41,950264148
20,Ekim,2018,16.19,16,16.7,1051052883
19,Ekim,2018,16.19,16,16.7,1051104610
18,Ekim,2018,16.55,16.45,16.91,992342527
17,Ekim,2018,16.55,16.37,17.61,1395968282
16,Ekim,2018,17.43,17.37,18.02,1023603799
15,Ekim,2018,18.08,17.65,18.13,998122790
13,Ekim,2018,17.49,16.39,17.49,1262424639
12,Ekim,2018,17.49,16.39,17.49,1263855793
11,Ekim,2018,16.5,16.31,16.86,682195523
10,Ekim,2018,16.7,16.67,17.68,691257450
9,Ekim,2018,17.57,17.41,18.03,888230237
8,Ekim,2018,17.83,17.35,17.87,749583137
